未来喫茶 — イベラン診断用ボーダーデータ（イベント名 × ボーダー）
========================================================================
出典: 参考データ/【完全版】プロセカボーダーランキング のコピー
生成元: js/border-rankings-data.js


========================================================================
■ TOP10（188件）
========================================================================

 No.  イベント名                                               ボーダーPt  表示              バナー     ユニット      種別      
 183  囚われのマリオネット                                      58,003,313  約5800万P         まふゆ     ニーゴ       マラソン    
 184  Color of Myself!                                57,575,757  約5757万P         雫       モモジャン     マラソン    
 185  響くトワイライトパレード                                    51,867,645  約5186万P         志歩      混合        マラソン    
 186  走れ!体育祭!～実行委員は大忙し～                               49,005,025  約4900万P         えむ      混合        マラソン    
 187  君と歌う、桜舞う世界で                                     48,989,869  約4898万P         一歌      混合        チアフル    
 188  全力!ワンダーハロウィン!                                   45,831,303  約4583万P         類       ワンダショ     マラソン    

========================================================================
■ TOP50（188件）
========================================================================

 No.  イベント名                                               ボーダーPt  表示              バナー     ユニット      種別      
--------------------------------------------------------------------------------------------------------------
   1  傷だらけの手で、私達は                                    200,000,430  約2億P            絵名      ニーゴ       マラソン    
   2  荊棘の道は何処へ                                       174,300,827  約1億7430万P       瑞希      ニーゴ       マラソン    
   3  ボク達の生存逃走                                       172,525,827  約1億7252万P       瑞希      ニーゴ       チアフル    
   4  天の果てのフェニックスへ                                   171,542,688  約1億7154万P       司       ワンダショ     マラソン    
   5  Overcome one's limits                          168,271,112  約1億6827万P       彰人      ビビバス      マラソン    
   6  Colors of Pure Sense                           166,143,854  約1億6614万P       絵名      ニーゴ       マラソン    
   7  Deeper and deeper                              155,695,442  約1億5569万P       類       ワンダショ     マラソン    
   8  Rekindle the flame                             155,251,112  約1億5525万P       彰人      ビビバス      マラソン    
   9  粉砕せよ！アンヴァレンタインの復讐                              153,624,517  約1億5362万P       司       混合        マラソン    
  10  BURN MY SOUL                                   150,451,010  約1億5045万P       彰人      ビビバス      マラソン    
  11  残照のInside Direction                            150,000,624  約1億5000万P       類       ワンダショ     マラソン    
  12  THE POWER OF UNITY                             143,000,888  約1億4300万P       彰人      ビビバス      マラソン    
  13  そしていま、リボンを結んで                                  141,708,978  約1億4170万P       瑞希      ニーゴ       マラソン    
  14  夢の途中、輝く星たちへ                                    138,622,322  約1億3862万P       えむ      ワンダショ     マラソン    
  15  Find A Way Out                                 136,566,879  約1億3656万P       彰人      ビビバス      マラソン    
  16  一期一会な百鬼夜行!?                                    135,170,000  約1億3517万P       類       混合        チアフル    
  17  カーテンコールに惜別を                                    134,517,624  約1億3451万P       類       ワンダショ     マラソン    
  18  Unreliable Notes                               132,500,210  約1億3250万P       奏       ニーゴ       マラソン    
  19  君が主役の物語を                                       129,501,976  約1億2950万P       司       ワンダショ     マラソン    
  20  新春!獅子舞ロボのお正月ショー!                               124,061,517  約1億2406万P       司       混合        チアフル    
  21  仮面の私にさよならを                                     122,100,127  約1億2210万P       まふゆ     ニーゴ       マラソン    
  22  GO ALL OUT                                     121,112,525  約1億2111万P       冬弥      ビビバス      マラソン    
  23  イミシブル・ディスコード                                   120,210,210  約1億2021万P       奏       ニーゴ       マラソン    
  24  つなぐ、星の歌                                        117,510,450  約1億1751万P       一歌      レオニ       マラソン    
  25  想いをのせて！Dream Stage                             117,200,439  約1億1720万P       寧々      混合        マラソン    
  26  まばゆい光のステージで                                    116,450,517  約1億1645万P       司       ワンダショ     マラソン    
  27  Never Give Up Cooking!                         115,255,640  約1億1525万P       冬弥      混合        チアフル    
  28  Special present for YOU！                       115,115,624  約1億1511万P       類       混合        マラソン    
  29  You are my HERO!!                              114,751,566  約1億1475万P       司       混合        マラソン    
  30  この祭に 夕闇色も                                      112,012,725  約1億1201万P       まふゆ     混合        チアフル    
  31  Unfading wishing                               111,200,000  約1億1120万P       彰人      混合        マラソン    
  32  この物語は希望をのせて                                    110,001,005  約1億1000万P       遥       モモジャン     マラソン    
  33  Find the dream view                            109,120,108  約1億912万P        志歩      レオニ       マラソン    
